am,country,datagolf_rank,dg_id,dg_skill_estimate,owgr_rank,player_name,primary_tour,last_updated,notes
0,NIR,1,10091,2.3776090355618,3,"McIlroy, Rory",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,2,18417,2.0540877713868304,1,"Scheffler, Scottie",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,3,19895,2.0507912772510704,6,"Schauffele, Xander",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,4,15466,2.01444839384638,4,"Cantlay, Patrick",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,AUS,5,15856,1.95466311844477,2,"Smith, Cameron",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,ENG,6,17646,1.86189008959243,10,"Fitzpatrick, Matthew",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,ESP,7,19195,1.79980470231123,5,"Rahm, Jon",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,8,14139,1.7287921213402502,7,"Thomas, Justin",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,IRL,9,13900,1.70327640332608,24,"Lowry, Shane",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,10,11676,1.68193215766424,16,"Finau, Tony",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,11,19428,1.62137570674759,13,"Zalatoris, Will",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,12,12422,1.5451610789610402,17,"Johnson, Dustin",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,13,19483,1.41165856618725,11,"Burns, Sam",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,ENG,14,12294,1.37617453163609,26,"Fleetwood, Tommy",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,NOR,15,18841,1.36689577974325,9,"Hovland, Viktor",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,16,14636,1.36199869822218,12,"Spieth, Jordan",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,CAN,17,17576,1.32239597009208,32,"Conners, Corey",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,KOR,18,17488,1.30936948334547,21,"Im, Sungjae",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,19,17538,1.27970737482825,20,"Homa, Max",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,20,22085,1.26288122394737,8,"Morikawa, Collin",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
0,USA,21,11276,1.23202735304098,14,"Horschel, Billy",PGA,2022-07-25 12:16:17 UTC,anyone ranked outside top 500 in OWGR appear as 501
